site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,rammed_earth,0.45,gi_sheet,0.002,eps,0.05,west,0.6,0.9,0.35,5.8,35.528,36.547,0.0,17.11
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.05,puf_sandwich_panel,0.1,none,0.0,east,0.9,0.9,0.85,5.8,38.552,47.438,0.1012,15.864
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.23,concrete,0.15,eps,0.05,east,1.2,0.9,0.45,3.5,36.291,37.861,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.15,brick,0.115,eps,0.05,south,0.9,1.2,0.45,3.5,34.97,37.914,0.0119,17.214
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,plywood,0.05,gi_sheet,0.002,eps,0.025,north,0.9,0.9,0.45,3.5,37.714,44.576,0.0774,17.261
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.115,gi_sheet,0.002,eps,0.1,east,0.6,1.2,0.65,2.6,35.745,37.82,0.0,17.149
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.345,rcc_slab,0.25,eps,0.025,west,1.2,1.2,0.45,2.6,37.327,39.143,0.0,17.11
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.345,concrete,0.2,eps,0.1,north,0.9,1.2,0.65,2.6,35.478,36.438,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,plywood,0.03,gi_sheet,0.002,mineral_wool,0.05,east,0.9,0.6,0.85,5.8,36.411,41.954,0.1071,17.274
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,rammed_earth,0.15,puf_sandwich_panel,0.1,mineral_wool,0.05,west,1.5,1.2,0.65,3.5,36.87,39.264,0.0,17.143
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,rammed_earth,0.45,gi_sheet,0.002,mineral_wool,0.05,west,0.6,1.2,0.75,3.5,35.682,36.746,0.0,17.11
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.345,rcc_slab,0.2,mineral_wool,0.1,west,1.2,1.2,0.75,5.8,36.337,37.814,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.05,puf_sandwich_panel,0.075,mineral_wool,0.05,east,1.8,1.2,0.45,5.8,35.734,40.522,0.1786,17.318
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,concrete,0.2,concrete,0.15,mineral_wool,0.05,north,0.6,1.5,0.45,3.5,36.576,38.302,0.0,17.118
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,concrete,0.1,gi_sheet,0.002,mineral_wool,0.1,north,0.9,1.2,0.55,2.6,36.022,38.298,0.0,17.147
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,concrete,0.1,concrete,0.2,eps,0.025,north,1.2,0.6,0.65,2.6,38.403,41.501,0.0,17.131
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,gi_sheet,0.002,rcc_slab,0.1,eps,0.1,east,1.2,0.6,0.55,3.5,36.054,39.759,0.0,17.203
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.345,gi_sheet,0.002,mineral_wool,0.1,east,1.8,1.5,0.55,5.8,37.064,39.021,0.0,17.115
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.115,puf_sandwich_panel,0.075,eps,0.025,east,0.9,1.2,0.35,2.6,36.913,39.878,0.0,17.151
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,gi_sheet,0.002,rcc_slab,0.2,mineral_wool,0.05,west,0.9,1.5,0.35,3.5,37.339,41.473,0.0,17.168
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,rammed_earth,0.3,gi_sheet,0.002,mineral_wool,0.05,north,0.9,0.9,0.75,3.5,36.261,37.778,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,concrete,0.2,eps,0.05,north,1.2,1.2,0.35,3.5,37.074,40.667,0.0,17.169
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,concrete,0.3,concrete,0.1,mineral_wool,0.05,west,1.2,0.6,0.85,2.6,36.808,38.494,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,plywood,0.019,concrete,0.1,none,0.0,north,1.8,1.5,0.75,2.6,43.24,57.365,0.0417,12.611
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,rammed_earth,0.3,concrete,0.2,none,0.0,east,0.9,1.2,0.55,2.6,40.655,44.399,0.0,17.114
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,plywood,0.019,brick,0.23,eps,0.025,south,0.9,0.9,0.75,5.8,38.33,43.325,0.0,17.173
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.019,rcc_slab,0.2,mineral_wool,0.1,west,1.2,0.6,0.55,5.8,35.779,38.588,0.0,17.169
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.115,brick,0.23,none,0.0,south,1.5,1.2,0.35,5.8,41.163,47.063,0.0,17.133
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.019,concrete,0.2,mineral_wool,0.1,south,1.5,1.2,0.85,3.5,36.76,40.003,0.0,17.169
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.05,brick,0.115,mineral_wool,0.1,south,0.6,0.6,0.55,2.6,34.837,37.359,0.0,17.193
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,rammed_earth,0.45,concrete,0.2,eps,0.025,south,1.5,1.5,0.65,5.8,37.412,39.235,0.0,17.108
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,concrete,0.1,concrete,0.2,eps,0.025,west,1.8,1.2,0.75,3.5,38.911,42.406,0.0,17.132
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.012,gi_sheet,0.002,eps,0.1,west,1.5,1.2,0.75,2.6,37.848,47.13,0.1131,17.299
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,rammed_earth,0.15,brick,0.23,eps,0.025,south,0.6,0.6,0.45,3.5,37.313,39.711,0.0,17.127
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.115,concrete,0.15,eps,0.025,west,1.5,1.2,0.85,3.5,38.854,42.436,0.0,17.136
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.115,brick,0.115,mineral_wool,0.05,north,0.6,0.6,0.85,5.8,36.788,39.195,0.0,17.139
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.15,brick,0.115,mineral_wool,0.05,south,1.8,1.5,0.35,5.8,35.819,39.477,0.0,17.212
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,concrete,0.15,gi_sheet,0.002,eps,0.025,south,1.5,1.5,0.45,2.6,38.857,42.641,0.0,17.134
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.1,puf_sandwich_panel,0.05,mineral_wool,0.025,north,0.6,0.9,0.35,2.6,33.927,37.356,0.25,17.319
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.075,concrete,0.2,mineral_wool,0.05,west,1.5,0.6,0.35,5.8,35.201,37.625,0.0,17.173
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,plywood,0.019,concrete,0.2,mineral_wool,0.1,west,1.8,0.9,0.35,5.8,35.864,38.439,0.0,17.169
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,concrete,0.1,rcc_slab,0.2,none,0.0,north,1.2,0.9,0.45,2.6,42.205,49.728,0.0,16.433
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.15,gi_sheet,0.002,mineral_wool,0.05,north,0.6,0.9,0.45,5.8,34.505,38.291,0.2083,17.297
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.03,rcc_slab,0.1,none,0.0,west,0.9,0.6,0.65,3.5,42.295,54.92,0.0119,13.777
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,plywood,0.05,gi_sheet,0.002,none,0.0,east,0.9,0.6,0.45,3.5,42.351,57.276,0.1131,13.046
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.1,brick,0.115,mineral_wool,0.05,west,1.5,0.6,0.55,2.6,35.091,38.124,0.006,17.213
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,rammed_earth,0.15,gi_sheet,0.002,eps,0.025,east,0.6,0.6,0.85,5.8,37.758,40.891,0.0,17.141
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.115,gi_sheet,0.002,mineral_wool,0.05,south,1.8,1.5,0.45,3.5,37.463,40.758,0.0,17.152
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,gi_sheet,0.002,rcc_slab,0.25,mineral_wool,0.05,east,0.6,0.6,0.55,5.8,36.859,40.075,0.0,17.158
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,concrete,0.1,gi_sheet,0.002,eps,0.05,west,1.8,1.2,0.45,5.8,37.255,40.4,0.0,17.15
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,concrete,0.15,brick,0.23,eps,0.1,west,0.9,1.5,0.75,2.6,36.922,39.04,0.0,17.123
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.075,brick,0.23,eps,0.1,north,1.5,0.9,0.85,2.6,35.649,38.043,0.0,17.176
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.03,concrete,0.1,mineral_wool,0.1,east,1.5,1.5,0.45,3.5,36.909,41.627,0.0,17.199
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,brick,0.23,eps,0.025,east,0.9,0.6,0.75,5.8,38.425,43.521,0.0,17.171
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,rammed_earth,0.3,rcc_slab,0.25,none,0.0,west,1.2,0.9,0.45,2.6,40.199,43.67,0.0,17.113
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.2,puf_sandwich_panel,0.05,eps,0.1,north,1.8,0.9,0.55,5.8,36.008,37.551,0.0,17.124
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.075,rcc_slab,0.2,mineral_wool,0.05,east,1.5,0.9,0.65,3.5,36.14,39.196,0.0,17.173
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.23,concrete,0.1,mineral_wool,0.05,north,0.6,0.9,0.55,3.5,36.321,37.947,0.0,17.12
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,rammed_earth,0.45,gi_sheet,0.002,none,0.0,west,1.8,1.5,0.75,3.5,42.184,46.764,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.1,concrete,0.15,mineral_wool,0.025,east,0.9,1.2,0.55,2.6,38.635,42.094,0.0,17.134
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,rammed_earth,0.3,puf_sandwich_panel,0.1,mineral_wool,0.05,south,0.9,1.2,0.65,5.8,35.514,36.711,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,gi_sheet,0.002,concrete,0.2,mineral_wool,0.05,north,1.5,0.9,0.85,3.5,37.907,41.931,0.0,17.168
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.1,concrete,0.15,mineral_wool,0.05,north,1.2,1.2,0.35,3.5,35.363,38.031,0.0,17.188
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.345,gi_sheet,0.002,none,0.0,south,0.9,0.9,0.35,5.8,41.635,46.052,0.0,17.114
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.115,gi_sheet,0.002,none,0.0,west,1.2,1.5,0.45,3.5,42.879,52.958,0.0,14.997
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,concrete,0.3,concrete,0.1,none,0.0,west,0.9,1.5,0.65,2.6,42.079,46.74,0.0,17.112
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,concrete,0.1,concrete,0.1,none,0.0,south,0.6,1.2,0.55,3.5,42.649,51.666,0.0,15.424
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,concrete,0.2,mineral_wool,0.025,south,1.2,0.9,0.45,2.6,38.376,43.28,0.0,17.169
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,brick,0.23,eps,0.025,west,0.9,1.5,0.35,5.8,38.547,44.039,0.0,17.171
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,plywood,0.012,puf_sandwich_panel,0.075,mineral_wool,0.025,east,1.2,0.6,0.45,5.8,36.948,43.754,0.1429,16.772
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.3,puf_sandwich_panel,0.15,eps,0.05,west,0.9,0.9,0.35,2.6,35.146,36.173,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,concrete,0.3,concrete,0.1,mineral_wool,0.1,east,0.6,0.6,0.45,3.5,35.073,35.881,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,concrete,0.15,eps,0.05,south,0.9,1.5,0.75,3.5,36.616,40.677,0.0,17.191
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,rammed_earth,0.15,brick,0.23,eps,0.025,east,1.5,0.9,0.55,5.8,37.687,40.277,0.0,17.128
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.23,brick,0.23,eps,0.05,west,1.5,0.6,0.35,3.5,36.317,37.917,0.0,17.118
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,puf_sandwich_panel,0.05,mineral_wool,0.05,north,0.9,0.6,0.45,5.8,36.276,41.656,0.1369,17.283
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.075,rcc_slab,0.1,mineral_wool,0.025,west,1.2,0.9,0.65,3.5,36.767,41.166,0.0,17.213
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,concrete,0.1,rcc_slab,0.1,eps,0.025,east,1.8,0.6,0.85,3.5,39.179,43.27,0.0,17.138
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,plywood,0.012,gi_sheet,0.002,eps,0.025,south,1.5,0.6,0.65,3.5,38.459,47.488,0.1369,16.015
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.03,brick,0.115,eps,0.1,south,0.9,0.9,0.85,3.5,35.64,38.863,0.0,17.204
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.115,concrete,0.15,mineral_wool,0.05,east,1.2,0.9,0.85,3.5,37.552,40.173,0.0,17.135
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,concrete,0.15,rcc_slab,0.15,mineral_wool,0.1,north,0.9,1.5,0.75,5.8,36.173,37.752,0.0,17.124
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,rammed_earth,0.3,concrete,0.1,mineral_wool,0.05,west,1.2,1.2,0.65,5.8,36.924,38.815,0.0,17.116
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,concrete,0.1,concrete,0.15,eps,0.025,south,0.6,1.5,0.55,2.6,38.572,42.031,0.0,17.134
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,plywood,0.019,puf_sandwich_panel,0.15,mineral_wool,0.025,south,1.5,0.9,0.35,5.8,37.158,44.619,0.1369,16.968
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.23,puf_sandwich_panel,0.075,eps,0.1,east,0.6,1.5,0.35,5.8,34.956,36.026,0.0,17.125
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,gi_sheet,0.002,eps,0.025,north,1.5,1.5,0.85,2.6,39.574,49.662,0.125,15.1
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,plywood,0.019,brick,0.115,mineral_wool,0.1,south,0.9,1.5,0.75,5.8,36.788,41.428,0.0,17.205
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.345,rcc_slab,0.1,mineral_wool,0.025,east,0.6,0.6,0.85,5.8,37.223,39.083,0.0,17.112
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.15,concrete,0.15,eps,0.1,north,1.5,1.2,0.45,3.5,36.025,37.706,0.0,17.131
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.115,gi_sheet,0.002,eps,0.1,north,0.6,1.5,0.55,5.8,35.796,37.911,0.0,17.15
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,plywood,0.012,gi_sheet,0.002,mineral_wool,0.1,north,1.8,0.9,0.55,5.8,36.477,41.74,0.125,17.286
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.03,brick,0.115,mineral_wool,0.025,south,1.5,0.6,0.75,5.8,38.122,43.936,0.0,17.205
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,puf_sandwich_panel,0.15,none,0.0,north,1.8,1.5,0.55,5.8,36.669,42.603,0.1667,17.328
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,concrete,0.2,puf_sandwich_panel,0.1,mineral_wool,0.1,north,1.5,0.6,0.85,2.6,35.424,36.623,0.0,17.123
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,plywood,0.05,rcc_slab,0.2,eps,0.1,south,1.5,0.9,0.85,3.5,36.81,40.275,0.0,17.165
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.23,brick,0.115,mineral_wool,0.025,east,1.2,1.2,0.75,5.8,38.41,41.064,0.0,17.121
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.115,puf_sandwich_panel,0.05,mineral_wool,0.05,west,0.6,1.5,0.85,3.5,37.039,40.16,0.0,17.15
